normalized_x1_error,normalized_x2_error,x1_estimate,x2_estimate,x1_real,x2_real,time
0.0068397445745082925,-0.05471795659606087,0.86,-8.729999999999999,0.8499999999999999,-8.650000000000006,1.462042901027341
-7.58587788031601e-17,-0.12982227582126413,0.85,-8.739999999999998,0.8500000000000001,-8.549999999999997,1.463539279357483
0.05195313325600648,-0.032470708284998824,1.2799999999999998,-9.149999999999999,1.2000000000000028,-9.100000000000009,1.5398493793586143
1.0729605741817057,1.811220110132196e-15,9.41,-1.7,7.700000000000003,-1.7000000000000028,1.593721187103385
1.0543170377704074,-0.14180872437847336,9.58,-1.71,7.87,-1.480000000000004,1.6219030317637502
0.8851594877318884,0.03688164532216834,9.61,-1.71,8.17,-1.7700000000000102,1.6268254703904506
-0.044783504794691016,-9.943935629295404e-16,-10.71,0.41999999999999993,-10.63,0.4200000000000017,1.7863720217244785
-0.22929322337793007,0.005592517643355085,-10.719999999999999,0.4299999999999997,-10.309999999999999,0.4200000000000159,1.788103433498434
0.0838877646504614,0.08388776465045741,0.4299999999999997,10.719999999999999,0.28000000000000114,10.570000000000007,1.788103433498434
-0.6084839932842131,-0.6084839932842181,-7.6,-7.6,-6.51,-6.509999999999991,1.7913371790059205
-0.48676972681420394,-0.48676972681420394,-7.67,-7.67,-6.790000000000006,-6.790000000000006,1.8078363372336064
-0.41929868949423404,-0.4192986894942301,-7.69,-7.69,-6.93,-6.930000000000007,1.8125503824415168
-0.11009174311926566,0.0660550458715592,0.0,10.9,0.1999999999999993,10.780000000000001,1.8166666666666667
0.07706422018348606,-0.022018348623851765,0.0,10.9,-0.13999999999999968,10.939999999999998,1.8166666666666667
-0.0961520642473675,-0.037392469429535176,-11.2,0.8499999999999996,-11.02000000000001,0.9200000000000017,1.8720346922236482
0.09062376913764907,0.0654504999327454,11.909999999999998,0.41999999999999993,11.730000000000004,0.29000000000000625,1.9862338734398826
0.06026244106200024,0.07532805132749985,11.94,0.4300000000000015,11.819999999999999,0.28000000000000114,1.9912900620228864
0.0853717915044996,-3.5682533113145915e-15,11.94,0.4299999999999997,11.77,0.4300000000000068,1.9912900620228864
0.5058357854674985,0.5058357854675034,9.31,9.31,8.2,8.199999999999989,2.1943880442822525
0.48201491193424006,0.48201491193424006,9.33,9.33,8.269999999999996,8.269999999999996,2.1991020894901627
-0.06807325477250946,-0.7488058024976071,-1.71,-13.11,-1.56,-11.459999999999994,2.2035085659012084
0.5218221165975593,0.5218221165975576,9.35,9.35,8.2,8.200000000000003,2.2038161346980734
0.3988807483616418,0.3988807483616466,9.36,9.36,8.48,8.47999999999999,2.206173157302028
0.33506447262201333,0.3350644726220157,9.37,9.37,8.63,8.629999999999995,2.208530179905983
0.19005340989727026,-0.9185914811701374,-1.7,-13.15,-2.12,-11.120000000000005,2.2099051010293533
0.5235599145806771,0.8936626128187425,9.4,9.4,8.240000000000002,7.420000000000002,2.215601247717849
0.05408820866267536,-0.612999698176968,-1.72,-13.2,-1.8400000000000034,-11.840000000000003,2.2185981559935044
0.21510820991637952,-0.05162597037992682,13.84,1.72,13.340000000000003,1.8399999999999892,2.3244115145319877
0.16651008928375674,-0.23909141025360237,13.95,1.7,13.56,2.260000000000005,2.342200413666127
0.10669783183255509,-0.1152336583791523,14.0,1.2799999999999998,13.75,1.549999999999983,2.343065418539473
0.02235108862832895,0.014900725752211139,11.689999999999998,11.08,11.629999999999995,11.04000000000002,2.684433004482614
0.0260534024985488,0.02233148785590067,11.700000000000003,11.09,11.63000000000001,11.030000000000001,2.686789182483641
0.13381132713538044,0.10035849535152938,-11.1,11.72,-11.459999999999999,11.450000000000017,2.6903552016622476
-0.2823767602516899,0.055732255312833025,-11.12,11.71,-10.36,11.560000000000002,2.6914396189069936
0.05201557486308321,0.02972318563604642,-11.109999999999998,11.719999999999999,-11.25,11.64,2.6915015429227513
0.03343858384055419,0.02972318563604641,11.719999999999999,11.11,11.629999999999995,11.030000000000001,2.6915015429227522
