model,name,confidence,error_x1,error_x2
first,grass,0.809714,2.0,2.0
first,wilson,0.798056,0.5,8.0
first,flint,0.795714,1.5,4.0
first,sapling_picked,0.791552,-1.0,2.0
first,berry_bush,0.773809,0.0,2.0
first,sapling_picked,0.765699,2.0,0.0
first,grass,0.754707,1.0,4.0
first,grass_picked,0.736293,-3.0,4.0
first,flint,0.718901,1.0,1.0
first,grass,0.683199,1.5,3.0
first,tree_evergreen_1,0.653228,3.0,3.0
first,grass,0.218652,-44.0,69.0
first,sapling,0.898087,0.5,2.0
first,sapling,0.889863,1.0,1.0
first,berry_bush_harvested,0.88217,1.0,2.0
first,sapling,0.842469,5.0,3.0
first,wilson,0.83038,-0.5,5.0
first,grass,0.829046,2.5,1.0
first,tree_evergreen_2,0.828301,-4.0,-1.0
first,tree_evergreen_1,0.82245,-0.5,-4.0
first,grass,0.817727,2.0,3.0
first,tree_evergreen_1,0.816849,-2.0,2.0
first,carrot_planted,0.814489,1.5,1.0
first,carrot_planted,0.786328,3.5,1.0
first,grass_picked,0.774052,-0.5,0.0
first,flint,0.745968,0.0,1.0
first,grass_picked,0.726991,1.5,-2.0
first,carrot_planted,0.186814,2.0,6.0
first,tree_evergreen_3,0.869277,-7.0,7.0
first,tree_evergreen_2,0.846908,0.5,1.0
first,tree_evergreen_1,0.844437,0.0,-7.0
first,sapling,0.840161,-1.5,-2.0
first,tree_evergreen_1,0.839064,3.5,5.0
first,carrot_planted,0.830034,2.0,-3.0
first,berry_bush,0.824195,-2.0,-1.0
first,tree_evergreen_2,0.820021,-2.0,-1.0
first,flint,0.800851,-1.0,0.0
first,wilson,0.800669,0.0,1.0
first,carrot_planted,0.795077,-1.0,0.0
first,sapling_picked,0.788014,4.0,0.0
first,grass_picked,0.763375,-0.5,-2.0
first,carrot_planted,0.761261,1.5,-3.0
first,sapling,0.872825,-0.5,3.0
first,tree_evergreen_3,0.863319,2.0,6.0
first,berry_bush,0.856259,0.5,3.0
first,tree_evergreen_1,0.849192,1.0,3.0
first,tree_evergreen_1,0.842553,2.0,12.0
first,tree_evergreen_2,0.834756,0.5,0.0
first,carrot_planted,0.819241,-2.5,0.0
first,wilson,0.815643,1.0,-1.0
