seed,num_landmarks,trajectory_name,u_noise,h_noise,player_mse,lm_mse
445,3,square_2,"[0.1, 0.1]","[40.0, 50.0]",0.019027279162009678,-1.0
445,3,square_2,"[0.5, 0.5]","[2.0, 3.0]",0.4759269358634688,-1.0
445,3,square_2,"[0.5, 0.5]","[20.0, 25.0]",0.4759269358634688,-1.0
445,3,square_2,"[0.5, 0.5]","[40.0, 50.0]",0.4759269358634688,-1.0
445,3,square_2,"[1, 1]","[2.0, 3.0]",1.9024037494919144,-1.0
445,3,square_2,"[1, 1]","[20.0, 25.0]",1.9024037494919144,-1.0
445,3,square_2,"[1, 1]","[40.0, 50.0]",1.9024037494919144,-1.0
445,3,square_2,"[2, 2]","[2.0, 3.0]",7.6055147859218755,-1.0
445,3,square_2,"[2, 2]","[20.0, 25.0]",7.6055147859218755,-1.0
445,3,square_2,"[2, 2]","[40.0, 50.0]",7.6055147859218755,-1.0
445,3,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",0.02877154883460404,0.03019047875232508
445,3,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",0.05718758583431549,0.36326422471564185
445,3,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",0.030782002098589008,8.581523830561894
445,3,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",0.904442863470301,0.7828575727261077
445,3,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",1.1181587688233265,1.5715336879513568
445,3,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",1.427241294368744,13.07095809911981
445,3,spiral_1,"[1, 1]","[2.0, 3.0]",3.2226081099036104,2.462584676457717
445,3,spiral_1,"[1, 1]","[20.0, 25.0]",2.603174254285325,6.4320123785860375
445,3,spiral_1,"[1, 1]","[40.0, 50.0]",1.730282042555197,13.649232954411408
445,3,spiral_1,"[2, 2]","[2.0, 3.0]",12.978147738837867,11.065525937371127
445,3,spiral_1,"[2, 2]","[20.0, 25.0]",11.632081638436187,9.760413536244986
445,3,spiral_1,"[2, 2]","[40.0, 50.0]",13.387268865633807,23.80488504019987
445,3,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",0.0199320962259332,-1.0
445,3,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",0.0199320962259332,-1.0
445,3,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",0.0199320962259332,-1.0
445,3,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",0.49877707396218046,-1.0
445,3,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",0.49877707396218046,-1.0
445,3,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",0.49877707396218046,-1.0
445,3,spiral_2,"[1, 1]","[2.0, 3.0]",1.9951055311708525,-1.0
445,3,spiral_2,"[1, 1]","[20.0, 25.0]",1.9951055311708525,-1.0
445,3,spiral_2,"[1, 1]","[40.0, 50.0]",1.9951055311708525,-1.0
445,3,spiral_2,"[2, 2]","[2.0, 3.0]",7.9643061258804275,-1.0
445,3,spiral_2,"[2, 2]","[20.0, 25.0]",7.9643061258804275,-1.0
445,3,spiral_2,"[2, 2]","[40.0, 50.0]",7.9643061258804275,-1.0
445,20,square_1,"[0.1, 0.1]","[2.0, 3.0]",0.02408366980987256,0.03035122954209979
445,20,square_1,"[0.1, 0.1]","[20.0, 25.0]",0.04434240363583124,2.69177162122848
445,20,square_1,"[0.1, 0.1]","[40.0, 50.0]",0.03685417038384763,10.72662612898687
445,20,square_1,"[0.5, 0.5]","[2.0, 3.0]",0.7610713494929707,0.1543502532458171
445,20,square_1,"[0.5, 0.5]","[20.0, 25.0]",0.9992390809444077,2.683212799644671
445,20,square_1,"[0.5, 0.5]","[40.0, 50.0]",3.005473153964746,12.474489091807197
445,20,square_1,"[1, 1]","[2.0, 3.0]",4.621192540527411,0.9238756669688131
445,20,square_1,"[1, 1]","[20.0, 25.0]",3.7831199668545388,3.0757673531504253
445,20,square_1,"[1, 1]","[40.0, 50.0]",9.917811860247248,13.98647449675762
445,20,square_1,"[2, 2]","[2.0, 3.0]",17.719846790697492,2.4392682772730114
445,20,square_1,"[2, 2]","[20.0, 25.0]",19.488966027660734,7.018425515899133
445,20,square_1,"[2, 2]","[40.0, 50.0]",12.177469877497122,16.98797420052172
445,20,square_2,"[0.1, 0.1]","[2.0, 3.0]",0.018894636997168923,0.024818711808432693
445,20,square_2,"[0.1, 0.1]","[20.0, 25.0]",0.019180568811837696,1.4533466860759057
445,20,square_2,"[0.1, 0.1]","[40.0, 50.0]",0.018294484423230964,8.384752300201118
445,20,square_2,"[0.5, 0.5]","[2.0, 3.0]",0.42045509668364595,0.21667644075178666
445,20,square_2,"[0.5, 0.5]","[20.0, 25.0]",1.0559004255710922,2.5937311591103343
445,20,square_2,"[0.5, 0.5]","[40.0, 50.0]",0.5293970958390829,12.676540081320043
445,20,square_2,"[1, 1]","[2.0, 3.0]",1.251107153895844,0.5220307694506917
445,20,square_2,"[1, 1]","[20.0, 25.0]",1.920207078246819,3.456696173078746
445,20,square_2,"[1, 1]","[40.0, 50.0]",1.6862156012297664,11.926816363285202
445,20,square_2,"[2, 2]","[2.0, 3.0]",4.1637566476115415,2.0103673561901942
445,20,square_2,"[2, 2]","[20.0, 25.0]",6.193130544802651,5.247582348582691
445,20,square_2,"[2, 2]","[40.0, 50.0]",6.118931837723956,9.556177881068706
445,20,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",0.046269872475706214,0.04219600179684167
445,20,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",0.02810701346878448,2.8765624203372644
445,20,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",0.028248068110005835,11.792795511989734
445,20,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",0.3888689263706485,0.22059521900655638
445,20,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",0.5304736874402054,4.257439467284575
445,20,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",1.4541600992811194,12.03557219987332
445,20,spiral_1,"[1, 1]","[2.0, 3.0]",0.7867249315014484,0.6138052108629561
445,20,spiral_1,"[1, 1]","[20.0, 25.0]",1.1386137544803379,5.671186603369635
445,20,spiral_1,"[1, 1]","[40.0, 50.0]",2.182279407480373,16.152318001571444
445,20,spiral_1,"[2, 2]","[2.0, 3.0]",10.531443128365291,5.26047782115523
445,20,spiral_1,"[2, 2]","[20.0, 25.0]",9.054866561647845,8.346785713968563
445,20,spiral_1,"[2, 2]","[40.0, 50.0]",17.009233610943742,23.251361581158946
445,20,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",0.013332534051983641,0.010569013626363382
445,20,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",0.05448863847373324,2.599609460084266
445,20,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",0.059064103999848135,12.456219622858875
445,20,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",0.70967761835936,0.5523660373906355
445,20,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",1.9689939157755791,6.888099244544662
445,20,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",1.769091398690355,16.781415746638967
445,20,spiral_2,"[1, 1]","[2.0, 3.0]",2.5706809199266463,2.1164564966997395
445,20,spiral_2,"[1, 1]","[20.0, 25.0]",5.373445671104875,7.2484903700978265
445,20,spiral_2,"[1, 1]","[40.0, 50.0]",2.5475431806193924,15.055356959717825
445,20,spiral_2,"[2, 2]","[2.0, 3.0]",12.508258593361012,9.823017776286676
445,20,spiral_2,"[2, 2]","[20.0, 25.0]",3.9113421241728004,2.7920828013849714
445,20,spiral_2,"[2, 2]","[40.0, 50.0]",8.440210662660437,10.098359758470583
445,50,square_1,"[0.1, 0.1]","[2.0, 3.0]",0.022798305064341575,0.051736018964252076
445,50,square_1,"[0.1, 0.1]","[20.0, 25.0]",0.05763721800844599,1.9381126711913357
445,50,square_1,"[0.1, 0.1]","[40.0, 50.0]",0.17497975790649292,12.524676719382947
445,50,square_1,"[0.5, 0.5]","[2.0, 3.0]",0.3115168789015934,0.13796965421778526
445,50,square_1,"[0.5, 0.5]","[20.0, 25.0]",0.15237552937112925,2.949476844798724
445,50,square_1,"[0.5, 0.5]","[40.0, 50.0]",0.881842732189665,15.281978895786734
445,50,square_1,"[1, 1]","[2.0, 3.0]",1.1693669550315886,0.928574773470682
445,50,square_1,"[1, 1]","[20.0, 25.0]",1.3043768849960973,4.103094543309399
445,50,square_1,"[1, 1]","[40.0, 50.0]",4.183503876098732,14.101120925528365
445,50,square_1,"[2, 2]","[2.0, 3.0]",4.568007561861626,3.3383476651954087
445,50,square_1,"[2, 2]","[20.0, 25.0]",1.6977661586647965,2.3981861361927512
445,50,square_1,"[2, 2]","[40.0, 50.0]",4.510562232766563,13.121781725861112
445,50,square_2,"[0.1, 0.1]","[2.0, 3.0]",0.01849123571225686,0.039013605087696177
445,50,square_2,"[0.1, 0.1]","[20.0, 25.0]",0.033275742817308246,2.490158807391539
445,50,square_2,"[0.1, 0.1]","[40.0, 50.0]",0.03434493805478118,10.394451701281431
445,50,square_2,"[0.5, 0.5]","[2.0, 3.0]",0.034668821640764784,0.03164483272772446
445,50,square_2,"[0.5, 0.5]","[20.0, 25.0]",0.5940681418217643,3.8171592003034416
445,50,square_2,"[0.5, 0.5]","[40.0, 50.0]",0.6556851609156054,12.612175894903608
445,50,square_2,"[1, 1]","[2.0, 3.0]",0.31035770312330474,0.2155804104136192
445,50,square_2,"[1, 1]","[20.0, 25.0]",1.278898193084612,4.10834560978432
445,50,square_2,"[1, 1]","[40.0, 50.0]",1.0399429162881104,12.846544117667904
445,50,square_2,"[2, 2]","[2.0, 3.0]",4.515497755900679,2.7297905699163145
445,50,square_2,"[2, 2]","[20.0, 25.0]",0.8255568259415519,3.822078741033082
445,50,square_2,"[2, 2]","[40.0, 50.0]",11.675394825059195,20.072711495264397
445,50,spiral_1,"[0.1, 0.1]","[2.0, 3.0]",0.007405063101703208,0.020158180640202323
445,50,spiral_1,"[0.1, 0.1]","[20.0, 25.0]",0.017608552121801232,2.2809463605216984
445,50,spiral_1,"[0.1, 0.1]","[40.0, 50.0]",0.10191112080221273,12.621333865657201
445,50,spiral_1,"[0.5, 0.5]","[2.0, 3.0]",0.5581798157602181,0.5601609887942798
445,50,spiral_1,"[0.5, 0.5]","[20.0, 25.0]",2.4897906926241213,3.348142525725745
445,50,spiral_1,"[0.5, 0.5]","[40.0, 50.0]",2.934458072877205,11.542635485422235
445,50,spiral_1,"[1, 1]","[2.0, 3.0]",1.6066028919009223,1.562354911422999
445,50,spiral_1,"[1, 1]","[20.0, 25.0]",2.462068471420266,5.355576146932536
445,50,spiral_1,"[1, 1]","[40.0, 50.0]",7.2958506269973995,18.94415495611837
445,50,spiral_1,"[2, 2]","[2.0, 3.0]",3.5381453175200663,5.152972053285077
445,50,spiral_1,"[2, 2]","[20.0, 25.0]",5.721910388810774,9.838463882279145
445,50,spiral_1,"[2, 2]","[40.0, 50.0]",11.246334823493026,21.19939780574713
445,50,spiral_2,"[0.1, 0.1]","[2.0, 3.0]",0.0021963601300536025,0.025082292599560928
445,50,spiral_2,"[0.1, 0.1]","[20.0, 25.0]",0.016619788360847976,2.4824098312496465
445,50,spiral_2,"[0.1, 0.1]","[40.0, 50.0]",0.15812386869219597,12.510551865960757
445,50,spiral_2,"[0.5, 0.5]","[2.0, 3.0]",0.03208422269433706,0.03650936938761623
445,50,spiral_2,"[0.5, 0.5]","[20.0, 25.0]",0.12699344108029248,2.809518485789629
445,50,spiral_2,"[0.5, 0.5]","[40.0, 50.0]",0.6299052349740333,16.148023354958113
445,50,spiral_2,"[1, 1]","[2.0, 3.0]",0.07432517904270898,0.054297032796802404
445,50,spiral_2,"[1, 1]","[20.0, 25.0]",0.30144290717139843,2.413768239663738
445,50,spiral_2,"[1, 1]","[40.0, 50.0]",3.2617245894596945,15.044765775476307
445,50,spiral_2,"[2, 2]","[2.0, 3.0]",0.36576260587919984,0.3158954773890702
445,50,spiral_2,"[2, 2]","[20.0, 25.0]",1.7137175103372964,2.973580126748551
445,50,spiral_2,"[2, 2]","[40.0, 50.0]",1.93274187455498,11.947189049068061
445,150,square_1,"[0.1, 0.1]","[2.0, 3.0]",0.015630778279527153,0.023979971704714324
445,150,square_1,"[0.1, 0.1]","[20.0, 25.0]",0.24772383640468407,2.604680677903644
445,150,square_1,"[0.1, 0.1]","[40.0, 50.0]",0.15605546213566046,12.098622525812399
445,150,square_1,"[0.5, 0.5]","[2.0, 3.0]",0.006784011424148367,0.013628104230196109
445,150,square_1,"[0.5, 0.5]","[20.0, 25.0]",0.20893684758812828,2.645800217345089
445,150,square_1,"[0.5, 0.5]","[40.0, 50.0]",0.9540016829209922,11.9702523311311
445,150,square_1,"[1, 1]","[2.0, 3.0]",0.015253487490027631,0.027445398131109758
445,150,square_1,"[1, 1]","[20.0, 25.0]",0.9671059482580734,2.6070330094601277
445,150,square_1,"[1, 1]","[40.0, 50.0]",1.6181614432633253,11.218680042408568
