handle_detected_objects_queue,handle_segmentation_queue,update_clock,update_world_model,update_player_model,slam_predict,use_received_yolo_info,use_received_segmentation_info,total
0,0,0,0,1000300,998600,7516700,0,10915500
0,2004700,0,0,2285500,0,8865600,20531600,33687400
0,0,0,0,1483900,0,8562300,0,10046200
0,0,0,0,2008400,0,0,0,2008400
0,2434700,0,0,2061900,0,8452400,19340800,32289800
0,0,0,0,1131400,0,0,0,2143200
0,2001000,0,0,2427100,0,26152200,19853300,51440000
0,0,0,0,1403700,0,8985600,0,10389300
0,2427300,0,0,2005300,0,9963200,18250400,32646200
0,0,0,0,2573800,0,12743800,0,15317600
0,2485200,0,0,999700,0,23891600,22475800,49852300
0,0,0,0,2001300,0,18309600,0,20310900
0,1232700,0,0,2007000,0,0,21982300,25222000
0,0,0,0,2001000,0,14772800,0,16773800
0,1166500,0,0,2573400,0,6325400,20412500,30477800
0,0,0,0,2015000,0,0,0,3014300
0,3018900,0,0,1301700,0,4057600,19946300,28324500
0,0,0,0,1246700,0,5012500,0,6259200
0,1107700,0,0,2041400,0,0,21663500,24812600
0,0,0,0,1508200,0,7514900,0,9023100
0,0,0,0,2000700,0,6566300,0,8567000
0,2196600,0,0,1508300,0,5007800,19425100,29149100
0,0,0,0,1139500,0,6734400,0,7873900
0,2484600,0,0,2038900,0,5004800,23218800,32747100
0,0,0,0,1845900,0,6281200,0,8127100
0,1505600,0,1006400,1004200,0,5003000,24247200,32766400
0,0,0,0,1505900,0,22105200,0,23611100
0,5613100,0,0,3303400,0,13396300,19601900,43964000
0,0,0,0,1157600,1005900,6977200,0,9140700
0,2002700,0,0,999000,0,7030700,19530200,29562600
0,0,0,0,1050900,1006900,5512400,0,7570200
0,2222300,0,0,1326200,0,20417800,22953600,46919900
0,0,0,0,2002500,0,8519800,0,10522300
0,2015100,0,0,2000300,0,7602900,21088700,32707000
0,0,0,0,999800,998200,9222000,0,11220000
0,3006000,0,0,2001000,0,20697900,23031200,48736100
0,0,0,0,1054000,0,9012100,0,10066100
0,1920600,0,0,2062700,0,8503100,18657000,31143400
0,0,0,0,2003000,0,9737500,0,11740500
0,2239000,0,0,1505500,0,12138700,18587800,34471000
0,0,0,0,2000800,0,16928800,0,18929600
0,2370200,0,0,2000000,0,12411200,23293800,40075200
0,0,0,0,998300,0,0,0,998300
0,2000100,0,0,1002900,0,11068200,21739500,35810700
0,0,0,0,2000400,0,10512900,0,12513300
0,1998200,0,0,999500,0,13757200,18204500,34959400
0,0,0,0,2507700,0,14305600,0,16813300
0,2207700,0,0,1511100,0,25731900,25893300,57350100
0,0,0,0,2002400,0,13549600,0,15552000
0,1223000,0,0,1005400,0,23043000,22060100,47331500
0,0,0,0,2009700,0,50994200,0,53003900
0,0,0,0,1011500,0,0,0,2016600
0,3011200,0,0,1009400,0,16384700,23561000,43966300
0,0,0,0,1118700,0,15339700,0,16458400
0,1826900,0,0,2009000,0,15601500,21051300,40488700
0,0,0,0,1000200,0,15802300,0,16802500
0,1000800,0,0,2512500,0,12545300,21046800,37105400
0,0,0,0,1002600,0,14282200,0,15284800
0,2000000,0,0,999800,0,10525400,19696300,33221500
0,0,0,0,2008700,0,0,0,2515000
0,2000300,0,0,2505100,0,17031800,23453200,44990400
0,0,0,0,1997500,0,16283300,0,18280800
0,1391000,0,0,1007900,0,0,21633400,24032300
0,0,0,0,1084900,915500,17814300,0,19814700
506600,1006200,0,0,2005200,0,14754000,18032200,37386900
0,0,0,0,1503400,0,15547500,0,17050900
0,2002900,0,547100,2040400,0,0,21418400,26008800
0,0,0,0,1325700,0,12154100,0,14411700
0,2000700,0,0,1509000,0,14001600,17361000,35884800
0,0,0,0,2000100,0,30160400,0,32160500
0,2006300,0,0,1992800,0,14041000,25790400,43830500
0,0,0,0,2008300,0,15246000,0,17254300
0,2310200,0,0,2146100,0,16060000,25052800,45569100
0,0,0,0,1282200,0,10146400,0,11428600
0,1264700,0,0,2517500,0,35085600,23068100,61935900
0,0,0,0,1008700,0,14183600,0,16674500
0,0,0,0,3082700,0,0,0,3082700
0,3014900,0,0,1000400,1002200,10513400,22196700,37727600
0,0,0,506400,1007200,0,16112000,0,17625600
505800,2515000,0,0,2005400,0,17287900,23060200,45374300
0,0,0,0,2233700,0,16521100,0,18754800
0,2058800,0,0,2006800,0,16584400,22157100,42807100
0,0,0,0,1003100,0,0,0,1003100
0,2008400,0,0,998400,0,28176200,25431500,56614500
6827500,0,0,0,999100,0,18050200,0,25876800
0,2255800,0,0,999800,0,19270400,17333700,39859700
0,0,0,0,2250500,0,15973200,0,18223700
0,1923900,0,0,1009500,0,19417900,21192700,43544000
0,0,0,0,1949100,0,19129600,1003800,22082500
0,2502500,0,0,1008100,0,20608800,24343600,48463000
