p1,p2
3385000.0,0.0
39480100.0,1010500.0
58189500.0,1006900.0
43971300.0,0.0
42574300.0,0.0
45062700.0,1432100.0
34630100.0,1000200.0
38468900.0,0.0
46072700.0,1016600.0
54354600.0,999800.0
64850800.0,1510700.0
59077400.0,1006400.0
57649600.0,0.0
52082500.0,997600.0
51699700.0,1157800.0
43646800.0,1013300.0
37464800.0,0.0
35220700.0,1001700.0
46586300.0,0.0
22069500.0,998100.0
19575300.0,999800.0
20961200.0,998600.0
25434400.0,1039900.0
35062100.0,0.0
51165400.0,508300.0
52018800.0,1009400.0
50609500.0,1492400.0
48312700.0,0.0
36666100.0,1278700.0
46624900.0,1008400.0
41586000.0,0.0
52997900.0,1251700.0
43521500.0,1001600.0
36587000.0,0.0
41618700.0,1302000.0
44743600.0,0.0
55785100.0,998800.0
39384700.0,1007600.0
29137500.0,0.0
28579200.0,1002800.0
33287800.0,1000100.0
40463900.0,1010300.0
34793400.0,1151100.0
27061800.0,1405300.0
29665500.0,0.0
43207400.0,1001200.0
45020200.0,0.0
31270900.0,0.0
27357300.0,0.0
19568300.0,1000800.0
25402400.0,0.0
30225900.0,0.0
34891400.0,1005100.0
28549600.0,0.0
26317000.0,0.0
22836900.0,1138000.0
22737000.0,507700.0
27787600.0,0.0
33034400.0,0.0
40621600.0,0.0
28826800.0,1368500.0
34680300.0,1007800.0
33557700.0,1323100.0
35993200.0,0.0
33446900.0,1000700.0
36726300.0,0.0
44688400.0,1010500.0
47508100.0,999400.0
50620600.0,1011600.0
53494700.0,1009600.0
53305700.0,999100.0
70766600.0,2014700.0
74696000.0,1002200.0
57060700.0,1001200.0
58867400.0,1000100.0
57140200.0,1001600.0
42713500.0,0.0
30874600.0,0.0
29029600.0,0.0
33916400.0,1005100.0
31292000.0,1488400.0
32770400.0,1537100.0
27071300.0,1006000.0
27185100.0,1000400.0
21478700.0,0.0
22668200.0,1031800.0
35793700.0,1192900.0
33137600.0,0.0
27023900.0,1254100.0
23046500.0,1511500.0
28203500.0,1213100.0
18470300.0,1011400.0
27112200.0,1449000.0
58837500.0,1010200.0
43627900.0,506800.0
45856500.0,999000.0
52138300.0,1000200.0
54556000.0,1241000.0
48697000.0,999900.0
36787600.0,1166200.0
43279200.0,1002900.0
53242400.0,930800.0
56820700.0,1446000.0
48876800.0,1447300.0
61099500.0,998100.0
59667000.0,1000900.0
57116000.0,1477500.0
63105100.0,0.0
45148800.0,1008000.0
48212600.0,1003300.0
47620500.0,0.0
