type,time
go_towards,0
explore,999800
control,999800
continue_action,0
control,0
continue_action,0
control,999000
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,1007400
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,1008700
continue_action,7006400
control,7006400
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,506000
control,506000
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,2193100
control,2193100
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,1001500
control,1001500
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,3004400
control,3004400
go_towards,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,997000
control,997000
continue_action,0
control,0
continue_action,0
go_towards,0
control,506200
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,508900
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,1005800
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,1000700
control,1000700
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,1007900
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,7560900
control,7560900
go_towards,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,1000800
control,1000800
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,1008300
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,4515300
control,4515300
go_towards,0
explore,1505300
control,1505300
continue_action,0
control,0
continue_action,0
control,0
continue_action,1510500
control,1510500
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
explore,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
explore,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
go_towards,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
pick_up,0
control,999400
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,1000200
control,1000200
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,4510700
control,4510700
go_towards,0
explore,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
go_towards,0
explore,1007000
control,1007000
continue_action,0
control,0
continue_action,0
control,0
continue_action,0
