screenshot,hide_huds,process_frame,create_objects,put_in_debug_queue
35746800,2000500,70592600,0,38438400
31042900,2001700,59358900,0,38933100
33697100,1578800,61961400,0,38349500
33007300,1997800,72938800,0,38119600
37124000,1503800,61454100,0,37779100
31718900,1998800,63245700,0,39980900
29692400,2009400,66331000,0,38720000
44975900,1999100,59404400,0,41189200
29899600,1268900,81940200,0,40257600
40634100,2003400,60525900,0,38610600
33348300,1999600,62420100,0,40585800
45252800,504800,82661000,0,42932700
36200000,1502300,61688700,0,45617900
47019700,1000000,62248600,0,48580500
38124500,2000400,83200900,0,40158200
35554700,1997900,58552900,0,42197800
29206700,2503900,66913200,0,48500100
40505900,2005100,82284600,0,36735800
43011100,1511400,56059400,0,36383600
38669700,999500,65360600,506000,41954600
41504200,1996200,80925900,0,38981500
39375100,1002300,64039000,0,41936900
28552400,2006100,65907800,0,44849900
37058600,1007400,78276200,0,43346300
43786500,999300,61861800,0,40188400
23408700,2337200,63439500,0,45258400
30568200,1021900,76021500,0,43668800
44808100,1006500,66640900,0,45466300
34626600,1503600,56743600,0,38645700
38267300,1997000,62407500,0,41494300
40515800,1008700,62307600,0,44124500
33712100,1000200,60833100,0,40651800
40440500,1996100,68196800,0,37766400
41167600,1336700,60146300,0,37626300
40999300,1998000,81709400,0,35629400
41443300,1009800,56527000,1004300,33608100
45295900,999400,65165900,0,42496700
40493800,2003400,69341700,0,41442500
36254900,2231900,60443300,0,37439400
35736500,2000400,61360000,0,34307100
30784600,2000100,63786400,0,39098200
31085300,2212400,66472400,1008000,35053000
28136800,2002900,67250100,0,36654900
43960000,2000000,62822000,0,41483000
41101900,1005300,61003600,0,37967200
34305800,2000500,63618900,0,38946900
49006500,1507000,65504300,0,39899200
38658500,1000300,64355300,0,38146600
36956700,1998900,65327700,0,40783600
34959300,1505600,65054400,0,38579000
31540100,1000100,82123000,0,37324100
44485600,1515000,64371800,0,32036900
31824100,2011800,62119800,0,36240800
37225700,2519400,70521200,0,35583500
45344200,1999200,51721900,0,28897000
30239000,1000700,80467200,0,30199300
34650800,1007800,56323100,0,28144700
30370400,999900,62786900,0,34358000
35862000,2007300,53161800,0,28444400
29400200,2001400,53830200,0,31099400
30281700,1035900,53883000,0,29806200
37969700,8528600,62013000,0,27283600
33122900,1997300,65263700,0,26182400
37310000,999700,56537500,0,27745900
34045100,2000300,83566200,0,29466400
33367500,1999100,65325100,0,31401300
34113600,1999300,72274100,0,35210000
42091100,2500500,62471600,0,34995600
33865700,1008300,55944500,0,32061400
32865100,2011200,79654100,0,32735600
32921100,2004800,61210400,0,28482100
38226900,1288400,58076600,0,31327200
26185900,1000200,56406400,0,29820600
27775100,1999100,59434200,0,25758400
33197800,1004900,57309800,0,23869000
33267200,0,57042800,0,25537900
35358900,1010500,58649700,0,25874300
36855200,1514900,62489800,0,23851300
37402500,1121800,57579700,0,32322500
27517100,1005600,59854200,0,28724700
38130400,2012800,75877800,0,33943100
43006400,999900,59140000,0,24722900
33061500,999400,79786200,0,30560400
36073700,2415600,65167500,0,33580000
32116500,1998000,58274200,1004000,29307400
26409900,2003300,58035700,0,27245100
31912100,1515600,61957600,0,24899300
29683300,998300,69412700,0,27500200
49246500,1999600,60618000,0,27406800
44608700,1038300,58761400,0,27197900
28921700,991000,58111600,0,29057600
27379600,2008000,62672200,0,28949500
40088600,2092900,54761300,0,24921900
33962000,2004400,57862100,0,28276100
27397600,2001000,61356300,0,28720500
45515200,1999300,52600900,0,29271700
33230700,2009500,60409600,0,29695200
34730000,1993100,61192100,0,25026300
34900600,2025200,70960800,0,30505000
45419700,2012400,59194000,0,23287200
33549200,1999000,75672800,998800,23059400
27781800,999400,58317000,0,23171300
34642000,2000800,73361900,0,22399700
32604400,1995900,56251400,0,14831300
26930800,1091400,78033400,0,21558600
37206400,999800,52435800,0,18746300
28950600,2412600,79161600,0,19071100
48555900,2002300,65793200,0,23715000
37361800,999400,55600700,0,20192100
46799100,1008400,53142100,0,15926400
40265900,1375800,56677800,0,23100700
37014400,1997200,54697500,0,21081800
34685600,2009500,57569100,0,21848300
39696100,999500,55347000,0,20646100
41018700,1118000,55217900,0,21349900
36402300,2006100,66676900,0,21770600
29798300,1006900,60436400,0,22270900
34227600,1999200,67039400,0,17461900
28904200,999000,58911600,0,23844200
32957000,2067200,71237600,0,23543100
49689900,2000400,62149200,0,22001100
31412600,2000100,61323500,0,25207500
45482000,1505800,60064700,507000,24454500
28039900,999300,57553200,0,23278300
34539300,2015200,61828800,0,23046700
32919900,2161000,59748300,0,22179800
27425300,2006200,54668600,0,26776400
36200300,2000200,63293900,0,24230500
28051800,999600,58695900,0,24388800
33558900,998000,63083600,0,19752100
29478200,2054100,54438200,0,29855000
34250700,2015000,64255700,0,24675100
40258200,998200,65891300,0,25969900
37399000,2004500,66161800,0,28572600
38348600,1170300,80335400,0,25012900
43592000,1010300,60490800,0,25360100
30348700,1999800,73646900,0,30167300
29853300,2059100,56891300,0,23149900
32452900,996000,61897300,0,24011900
28963300,2009700,62953000,0,28504400
36029200,2007500,60426800,0,25842600
30851900,1506400,57123800,0,27667500
31399600,1002300,56121500,0,24321500
37504300,997500,61919000,0,24824900
29876000,999400,60130900,0,28959800
42428900,504600,68389200,0,29648300
49224900,2000500,60612300,0,28032400
28670100,999100,64926100,0,35627100
28233300,999900,66715800,0,32696300
35411200,1504600,62308400,0,29221600
39514700,2442300,68184700,0,33081300
28256700,1005200,61157100,0,32873300
39717200,997400,82284300,0,32907400
34361500,998700,59445300,0,33484300
40876500,1379300,60897500,0,28228300
38801600,1000900,65151000,0,33055100
35006300,1505300,61758400,0,33126800
37740400,2252000,84940400,0,38180000
44396800,1007800,62693400,0,38563100
27189500,1771800,61927000,0,42203300
28336600,1995400,55623800,0,35736100
39999300,1178300,59976200,0,32610500
40040600,998000,84179900,0,35859100
29044300,2004300,57835700,0,30738600
36694100,2515600,62846600,0,29920000
43692900,1507000,58711400,0,27559700
27845200,1998700,57530000,0,28923200
24734500,1001900,59668800,0,29904000
26229700,1004800,56774200,0,27994800
31665600,2006800,60003900,0,31465100
37278000,2025900,54802700,0,26851500
36304000,2000800,76129700,0,30578800
41067000,1999600,57234900,0,33662500
42421700,999600,65892700,0,33685700
30514300,1504100,61143900,0,34051600
38867500,1999100,62699500,0,35809200
33759500,1504000,84383000,0,32632600
45804900,1255400,62084700,0,38191400
28933000,2098700,58594800,0,36966100
41479000,1000000,68169300,0,40986700
42129100,2001000,62324600,0,38389100
32940000,2014200,79980600,994800,37419900
39858900,2135500,51989000,0,32222700
27382500,2001300,57663600,0,36074100
42414800,999200,79774800,0,33135500
37577300,1022300,61768900,1001400,35772000
30691400,1438900,67313000,0,37271100
44369600,1000000,66461400,0,33423500
30516900,2025000,57651400,0,39310000
42450300,1000700,91577000,0,40088000
42673900,996400,60017900,0,39599500
29552200,1999500,66875000,0,40602000
48394500,2008200,71385900,0,39824700
53113400,2001400,74457800,0,47657000
35328100,999000,70331900,0,40397400
41415100,2013100,66442100,0,37121700
45747700,998500,67617700,0,31259100
34132400,1007900,70715700,0,36632700
38337300,2003900,79219200,0,41592800
47072400,2000800,64453100,0,37888300
27334000,1998800,64633600,0,35353600
29885700,1000000,59773700,1426700,33403800
37376700,1504500,63704700,0,38405000
29439200,998500,86095900,0,36663200
41628300,0,59417400,0,31748000
32229100,997400,58454200,0,36102300
35705100,1998800,58946100,0,38356800
34297700,2001300,61379900,1006700,39874000
42405500,1012000,83495400,0,37479500
49909400,2177900,59624000,0,32936000
31304100,1999500,59751800,0,35510400
40655200,1506800,63339400,0,35076300
30999300,2012700,54243600,0,36631800
43840000,2000000,84205500,0,35662700
42998700,2003700,60693000,0,34455200
31984000,2010800,60090700,0,34597500
38001100,1007700,63115400,0,36122500
52259300,1259700,63385500,0,40088500
27546900,1004100,68914200,0,35815400
45041600,998400,64500000,0,39220100
43023300,2000500,63331300,0,43708400
43192400,1999100,63130100,0,40063100
42431100,2007200,83760700,0,37070100
46079500,1516600,65919700,0,40872300
35220200,1998100,63164900,0,37681500
35822200,1007100,64069000,0,36361600
47766800,2005400,59849100,0,40859300
29773000,1999300,79648200,0,37051600
29840800,1188500,54099500,0,42693000
34599900,998900,65167500,0,43483400
41992300,2586400,83655600,0,50029200
29538800,1999400,68840100,0,43991600
36706300,1007800,63375600,0,44722700
41651600,1999100,86373500,0,45816000
31155300,2057800,64747300,0,50206400
32919100,2006100,66375700,0,48145000
41750100,1514000,88274000,0,44557100
37633800,2003800,68359300,0,52108500
41807600,1997400,65331000,0,51941200
31129800,1998600,69041400,0,50185300
35071100,2001000,81768900,0,51840600
43400300,2003400,66172400,0,46972300
36011500,1998800,70222100,0,55447500
38231300,1505000,80286500,0,49305400
38200000,1507100,70107800,0,47011900
41187400,999900,60708200,0,49248800
32133800,998400,85843300,0,50725200
41881800,1315900,54433200,0,51014800
41018300,2537300,67332100,0,50579900
31717800,2013000,86252100,0,50959800
38644600,1504000,65927400,0,46111800
35601500,998700,62578300,1006500,60175300
30330200,2000300,82833500,0,50730500
33162500,2008000,81590100,0,55934400
46042000,1095100,63746500,1005200,51960500
